year,player,round,hrs,outs,total_swings,hr_per_swing
2006,Ryan Howard,R1,8,10,18,0.4444
2006,Ryan Howard,R2,10,10,20,0.5
2006,Ryan Howard,Finals,5,10,15,0.3333
2006,David Wright,R1,16,10,26,0.6154
2006,David Wright,R2,2,10,12,0.1667
2006,David Wright,Finals,4,10,14,0.2857
2006,Miguel Cabrera,R1,9,10,19,0.4737
2006,Miguel Cabrera,R2,6,10,16,0.375
2006,David Ortiz,R1,10,10,20,0.5
2006,David Ortiz,R2,3,10,13,0.2308
2006,Jermaine Dye,R1,7,10,17,0.4118
2006,Lance Berkman,R1,3,10,13,0.2308
2006,Miguel Tejada,R1,3,10,13,0.2308
2006,Troy Glaus,R1,1,10,11,0.0909
2007,Vladimir Guerrero,R1,5,10,15,0.3333
2007,Vladimir Guerrero,R2,9,10,19,0.4737
2007,Vladimir Guerrero,Finals,3,10,13,0.2308
2007,Alex Ros,R1,5,10,15,0.3333
2007,Alex Ros,R2,12,10,22,0.5455
2007,Alex Ros,Finals,2,10,12,0.1667
2007,Matt Holliday,R1,5,10,15,0.3333
2007,Matt Holliday,R2,8,10,18,0.4444
2007,Albert Pujols,R1,4,10,14,0.2857
2007,Albert Pujols,R2,9,10,19,0.4737
2007,Justin Morneau,R1,4,10,14,0.2857
2007,Prince Fielder,R1,3,10,13,0.2308
2007,Ryan Howard,R1,3,10,13,0.2308
2007,Magglio Ordez,R1,2,10,12,0.1667
2008,Justin Morneau,R1,8,10,18,0.4444
2008,Justin Morneau,R2,9,10,19,0.4737
2008,Justin Morneau,Finals,5,10,15,0.3333
2008,Josh Hamilton,R1,28,10,38,0.7368
2008,Josh Hamilton,R2,4,10,14,0.2857
2008,Josh Hamilton,Finals,3,10,13,0.2308
2008,Lance Berkman,R1,8,10,18,0.4444
2008,Lance Berkman,R2,6,10,16,0.375
2008,Ryan Braun,R1,7,10,17,0.4118
2008,Ryan Braun,R2,7,10,17,0.4118
2008,Dan Uggla,R1,6,10,16,0.375
2008,Grady Sizemore,R1,6,10,16,0.375
2008,Chase Utley,R1,5,10,15,0.3333
2008,Evan Longoria,R1,3,10,13,0.2308
2009,Prince Fielder,R1,11,10,21,0.5238
2009,Prince Fielder,R2,6,10,16,0.375
2009,Prince Fielder,Finals,6,10,16,0.375
2009,Nelson Cruz,R1,11,10,21,0.5238
2009,Nelson Cruz,R2,5,10,15,0.3333
2009,Nelson Cruz,Finals,5,10,15,0.3333
2009,Ryan Howard,R1,7,10,17,0.4118
2009,Ryan Howard,R2,8,10,18,0.4444
2009,Albert Pujols,R1,5,10,15,0.3333
2009,Albert Pujols,R2,6,10,16,0.375
2009,Carlos Pea,R1,5,10,15,0.3333
2009,Joe Mauer,R1,5,10,15,0.3333
2009,Adrin Gonzlez,R1,2,10,12,0.1667
2009,Brandon Inge,R1,0,10,10,0.0
2010,David Ortiz,R1,8,10,18,0.4444
2010,David Ortiz,R2,13,10,23,0.5652
2010,David Ortiz,Finals,11,10,21,0.5238
2010,Hanley Ramrez,R1,9,10,19,0.4737
2010,Hanley Ramrez,R2,12,10,22,0.5455
2010,Hanley Ramrez,Finals,5,10,15,0.3333
2010,Corey Hart,R1,13,10,23,0.5652
2010,Corey Hart,R2,0,10,10,0.0
2010,Miguel Cabrera,R1,7,10,17,0.4118
2010,Miguel Cabrera,R2,5,10,15,0.3333
